Date,TempMax,TempMin,TempMean,Precipitation,PrecipHours,WindSpeed,SunshineDuration
1979-04-09,63,35.1,47.8,0.228,6,15.8,27623.31
1979-04-10,42.6,35.7,40.5,0.35,14,13.7,7415.36
1979-04-11,45.1,33.1,38.3,0,0,12.9,37630.38
1979-04-12,47.4,31.3,39.2,0.004,1,11.9,43971.77
1979-04-13,60.1,27.9,44.8,0,0,10.8,44113.33
1979-04-14,67.8,32.5,50.9,0,0,7.2,44253.82
1979-04-15,72.8,36.7,55.6,0,0,7.9,44393.11
1979-04-16,75.3,38.2,57.3,0,0,12.7,44531.1
1979-04-17,75.3,43.2,59.9,0,0,20.9,44667.71
1979-04-18,69.6,44.3,57.1,0,0,23.5,44802.82
1979-04-19,58.9,38.8,48.6,0.004,1,13.4,44936.64
1979-04-20,61.9,36.6,49.2,0,0,6.2,45070.08
1979-04-21,71.7,34.6,55.1,0,0,8.1,44368.36
1979-04-22,75.2,38,58.7,0,0,15.8,43352.62
1979-04-23,76.3,41.8,61.2,0,0,17.9,44567.22
1979-04-24,71.2,50.4,61.4,0,0,16.5,37702.05
1979-04-25,64.2,43.2,54.7,0,0,10.3,43200
1979-04-26,65,44.4,55.5,0,0,9.1,44875.77
1979-04-27,69.3,45,57.2,0.043,3,11.9,45579.67
1979-04-28,69.5,49.3,58.9,0,0,14.1,45634.02
1979-04-29,69.2,42.8,57,0.004,1,10.7,45579.87
1979-04-30,70.2,41.2,58.5,0,0,11.5,43351.58
1979-05-01,74.3,45.4,62,0,0,15.7,45828.08
1979-05-02,65,47.6,57.8,0,0,8.7,44492.41
1979-05-03,63.2,44.8,54,0,0,9.1,45996.57
1979-05-04,71.6,41.5,58,0,0,6.3,46354.79
1979-05-05,81.5,45.6,66.2,0,0,19.9,45593.35
1979-05-06,77.9,52.5,66.5,0,0,24.2,43677.84
1979-05-07,57.1,43.6,50.8,0.047,5,12.7,39855.77
1979-05-08,50.7,35.3,43.9,0.224,12,9.7,44771.27
1979-05-09,46.2,35.8,41.1,0.343,18,7.7,35547.17
1979-05-10,53,35.7,45,0,0,7.2,47017.04
1979-05-11,58,37.2,48.1,0.016,1,8.5,47285.27
1979-05-12,62.3,38.5,51.5,0,0,4.7,47459.27
1979-05-13,71.5,38.6,57.7,0,0,7.2,47744.05
1979-05-14,79.5,43.2,63.3,0,0,7.2,47818.47
1979-05-15,82.9,43.5,66,0,0,5.9,48042.86
1979-05-16,82.1,54.1,68.9,0,0,9.9,46818.31
1979-05-17,81.3,49.5,68,0,0,8.1,48239.12
1979-05-18,85.3,51,71.1,0,0,13.9,48334.44
1979-05-19,79.9,59.2,70.1,0,0,7.4,48427.73
1979-05-20,84.4,52.2,70.4,0,0,9,48518.89
1979-05-21,83,52.4,69.7,0,0,12.5,48589.57
1979-05-22,85.4,55.7,72.8,0,0,8.8,48629.16
1979-05-23,85.4,55.7,74.6,0,0,6.1,48667.12
1979-05-24,76.6,59.8,67.9,0.28,7,10.2,36323.46
1979-05-25,70.4,55.7,63.9,0,0,4.5,48318.79
1979-05-26,75.5,54.6,65.8,0,0,7.9,47600.83
1979-05-27,80.6,54.7,67.5,0.094,3,12.7,45664.54
1979-05-28,81.8,55.5,68.2,0.059,4,16.9,46412.26
1979-05-29,72.6,55.8,64.5,0.012,2,16.2,48858.58
1979-05-30,69.5,49.3,59.6,0,0,18.1,48884.08
1979-05-31,69.2,47.2,58.8,0,0,7.1,48949.83
1979-06-01,74.9,45.6,62.4,0,0,11.3,48971.91
1979-06-02,77.8,46.4,65.5,0,0,7.2,48991.74
1979-06-03,82.5,50.5,69.2,0,0,9.7,49009.39
1979-06-04,84.3,53.7,71.8,0,0,5.7,49024.91
1979-06-05,88.6,54.7,75.3,0,0,10.9,49097.97
1979-06-06,92,67.2,79.3,0,0,18.4,49011.73
1979-06-07,71.9,59.4,66.9,0.051,4,16.7,45227.41
1979-06-08,58.9,44.7,50.2,0.205,15,9.2,5083.33
1979-06-09,66.4,42.7,54.7,0.016,2,8.3,49281.09
1979-06-10,76.3,41.8,61.4,0,0,5.4,49291.63
1979-06-11,86.1,48.6,69.9,0,0,4.7,49300.09
1979-06-12,92.3,53.3,76.1,0,0,5.1,49381.92
1979-06-13,96.5,57.3,80.3,0,0,15.4,49234.06
1979-06-14,93.9,66.2,82.6,0,0,20.4,49392.46
1979-06-15,93.2,65,81.2,0,0,21.4,48046.3
1979-06-16,89.8,60.5,77.7,0,0,19.4,49558.09
1979-06-17,87.3,58.2,75.1,0,0,22,49049.04
1979-06-18,74.5,58.4,67.6,0,0,22.6,46812.45
1979-06-19,75,49,62.9,0,0,13.8,49554.62
1979-06-20,85.4,54.4,71.6,0,0,8.4,49548.8
1979-06-21,90.6,53.1,75.2,0,0,11.6,49627.06
1979-06-22,91.7,54.4,77.2,0,0,9.1,49356.03
1979-06-23,91.2,63.5,79.1,0,0,7.9,49430.01
1979-06-24,93.5,60,79.4,0,0,7,49503.18
1979-06-25,96.7,61.6,81.9,0,0,11.1,49664.14
1979-06-26,98.7,61.4,83.4,0,0,16,48933.39
1979-06-27,97.6,70.1,86.2,0,0,9.3,49269.03
1979-06-28,99.1,66,85.3,0,0,8.6,49515.22
1979-06-29,101,63.2,84.9,0,0,16.8,47808.94
1979-06-30,92.9,71.3,82,0.028,2,17.3,47865.33
1979-07-01,91.7,66.8,79.2,0.012,2,17,44125.23
1979-07-02,89.6,61.2,77.7,0,0,15.7,48786.16
1979-07-03,87.3,61.6,76,0.004,1,16.3,48512.48
1979-07-04,89.3,57.5,75.7,0,0,7.5,49348.33
1979-07-05,93.7,58.5,79.1,0,0,11.2,49227.65
1979-07-06,91.1,62.7,79.2,0,0,18.8,48371.59
1979-07-07,95,59.3,79.8,0,0,7.4,49330.75
1979-07-08,97,60.9,82.2,0,0,12.5,49207.64
1979-07-09,98.3,68.6,84.8,0,0,5.9,47507.48
1979-07-10,99.6,62.5,84.6,0,0,9.1,48698.02
1979-07-11,97.4,74.6,87.1,0,0,8.2,48678.23
1979-07-12,99,68.9,86.9,0,0,8.1,48958.62
1979-07-13,97.2,74.2,86.4,0,0,11.2,48912.87
1979-07-14,99,72,86.9,0,0,10.4,48636.9
1979-07-15,100.6,71.8,87.9,0,0,9.6,48593.29
1979-07-16,91.3,75.3,82.4,0,0,12.3,30463.35
1979-07-17,96.4,65.1,82.7,0,0,16.4,46972.95
1979-07-18,94.6,69.8,82.4,0,0,15.4,47384.77
1979-07-19,91.6,65.1,80.4,0,0,6.1,47907.41
1979-07-20,91.6,67.1,81.4,0,0,9.6,47786.41
1979-07-21,88.5,69.6,80.3,0,0,13.3,47164.89
1979-07-22,92.5,66,80.5,0,0,9.8,47556.08
1979-07-23,90.9,69.5,80.6,0.004,1,16.3,47543
1979-07-24,91.1,68.3,80.6,0,0,6.5,47526.94
1979-07-25,96.2,66.1,83.7,0,0,7.7,47555.7
1979-07-26,98.5,67.1,85.6,0,0,9,47410.95
1979-07-27,99.5,68,86.4,0,0,11.5,47142.44
1979-07-28,99.8,69.3,87,0,0,11.8,47338.39
1979-07-29,96.7,68.4,85.3,0,0,9.7,47214.76
1979-07-30,97,70.2,85.5,0,0,9.3,47198.54
1979-07-31,94,71.9,84,0,0,6.1,47114.29
1979-08-01,96.5,64.3,83.7,0,0,10.1,47105.1
1979-08-02,96.8,68.7,85.3,0,0,7.4,47028.98
1979-08-03,97.2,74.5,86.2,0,0,9.4,47021.39
1979-08-04,101,62.3,85.4,0,0,4.7,46953.52
1979-08-05,99.7,67,86,0,0,10.6,46772.16
1979-08-06,98.2,69.5,86.4,0,0,9.3,46655.17
1979-08-07,94.3,70.9,83.1,0.008,1,13.9,46303.56
1979-08-08,93,71.3,83,0,0,14.1,46485
1979-08-09,94.3,67.4,82.1,0,0,12.5,46418.88
1979-08-10,91.8,68.3,81,0.024,1,10.7,46350.05
1979-08-11,94.4,65.6,82.3,0,0,7,46281.02
1979-08-12,87.4,68.6,77.5,0.528,10,12.6,45578.49
1979-08-13,79.5,66.1,72.2,0.146,8,12.6,45049.38
1979-08-14,81.2,62.6,71.5,0,0,10.8,46068.45
1979-08-15,75.9,61.2,68.8,0.161,4,7.6,42403.2
1979-08-16,73.1,59.6,65.1,0.142,12,8.7,32250.89
1979-08-17,77.6,54.9,66.6,0,0,8.3,45823.58
1979-08-18,76.4,54.3,65.8,0.008,1,12.5,44485.02
1979-08-19,75.2,54.5,65.6,0.004,1,10.1,45496.71
1979-08-20,76.4,54.6,67.1,0,0,11.6,45439.71
1979-08-21,82.6,52.6,69.5,0,0,7.6,45308.81
1979-08-22,86.6,53,72.6,0,0,5.7,45176.58
1979-08-23,89.7,54.9,74.8,0,0,8.4,45043.16
1979-08-24,89.3,60.1,76,0,0,8.5,44908.62
1979-08-25,90.3,58,76.8,0,0,8.8,39383.52
1979-08-26,88.7,62.3,77.7,0,0,8.9,44420.1
1979-08-27,92,57.9,76.9,0,0,12.8,43354.61
1979-08-28,93.1,60.7,79.1,0,0,14.1,44361.43
1979-08-29,92.4,58.7,77.5,0,0,13.6,44222.82
1979-08-30,87.5,62,75.7,0,0,13.3,44083.7
1979-08-31,88.4,63.3,76.4,0,0,11.6,43944.12
1979-09-01,91.9,57.3,76.4,0,0,11.2,43804.21
1979-09-02,91.3,61.9,78.2,0,0,12.9,43664.03
1979-09-03,93.2,58.4,77.9,0,0,13,43502.25
1979-09-04,92.2,64.6,79.1,0,0,11.2,43313.19
1979-09-05,93.5,57.4,77.8,0,0,7.6,43129.87
1979-09-06,93.9,58.9,78.6,0,0,7.7,42873
1979-09-07,95.4,57.6,79.1,0,0,10.4,42486.31
1979-09-08,95.4,60.1,80.5,0,0,10.1,42052.32
1979-09-09,94.7,64.3,81.2,0.008,1,12,42000.71
1979-09-10,91.8,64.5,80.6,0,0,9,41212.51
1979-09-11,91.5,66.8,79.8,0,0,12.6,41897.19
1979-09-12,83.3,58.5,72.9,0,0,9.5,41921.84
1979-09-13,81.8,58.7,69.9,0,0,14.9,41827.61
1979-09-14,75.7,55.2,65.9,0,0,14.5,41747.41
1979-09-15,77.7,49.7,65.3,0,0,5.4,41688.61
1979-09-16,81.8,52,68.8,0,0,4.9,41636.07
1979-09-17,87.9,56.5,74.4,0,0,5,41493.8
1979-09-18,86,53.1,72,0,0,5,41344.22
1979-09-19,84.9,58.3,72.6,0.004,1,10,41194.51
1979-09-20,80.8,61.6,71.7,0,0,8.1,40147.45
1979-09-21,81.5,53.4,69.1,0,0,7.2,40895.05
1979-09-22,85.7,53.1,71.2,0,0,7.9,40745.49
1979-09-23,87.1,53.1,72.1,0,0,9.2,40596.16
1979-09-24,87.5,54.3,72.8,0,0,8.6,40447.15
1979-09-25,87.7,57.4,74,0,0,15.7,40298.55
1979-09-26,81.9,62.4,72.3,0.024,3,11.4,37039.55
1979-09-27,80.2,54,68.3,0,0,9.7,39110.79
1979-09-28,82.1,53.3,69.1,0,0,8.9,39633.92
1979-09-29,83.4,53.7,69.7,0,0,8.2,39697.91
1979-09-30,83.8,52.8,70.5,0,0,5.6,39545.98
1979-10-01,84.9,54.2,70.8,0,0,4.8,39278.38
1979-10-02,85.9,54.7,71.9,0,0,12.5,39063.96
1979-10-03,80.8,60.8,71.6,0,0,6.6,38853.95
1979-10-04,81.3,53,68.2,0,0,6.7,35871.86
1979-10-05,81.5,59.7,70.8,0,0,4.5,38530.92
1979-10-06,81.3,57.8,69.2,0,0,7.2,37208.11
1979-10-07,84.4,50,68.9,0,0,5.7,37915.25
1979-10-08,83.2,51.2,68.4,0,0,10.4,37954.5
1979-10-09,77.8,53.3,66.5,0,0,7.1,37239.09
1979-10-10,79.9,52.8,66.7,0,0,6.1,37603.18
1979-10-11,78.4,58,68,0,0,6.1,34918.37
1979-10-12,78.4,51.3,65.4,0,0,4,37137.46
1979-10-13,81,46.6,65.7,0,0,7.4,36088.46
1979-10-14,74.9,50.1,63,0,0,13,34814.03
1979-10-15,75.8,44.7,61.5,0,0,9.7,36582.7
1979-10-16,70.8,54,62.1,0,0,6,36306.88
1979-10-17,73.3,44.6,60.9,0,0,12.2,32944.45
1979-10-18,73.6,49.9,63.3,0,0,13.8,33750.88
1979-10-19,72.7,61.3,66.2,0,0,21.1,30866.32
1979-10-20,67.7,47.8,58.6,0.051,5,26.9,32950.43
1979-10-21,55,39.9,46.9,0.02,3,10.3,36074.62
1979-10-22,58.3,31.7,45.7,0,0,4.7,35939.22
1979-10-23,63,36.2,50.6,0,0,3.3,35873.18
1979-10-24,68,42.8,56.2,0,0,3.5,35806.7
1979-10-25,74.9,37.9,57.2,0,0,7.8,35739.82
1979-10-26,71.2,47.3,58.8,0,0,10.4,35618.9
1979-10-27,62.8,44.9,53.4,0,0,5.5,35471.3
1979-10-28,67.2,33.8,51.6,0.008,1,10.5,35324.6
1979-10-29,47.2,40.2,43.9,0.126,9,16.3,14496.13
1979-10-30,46.4,31.6,39.3,0,0,16.2,35034.48
1979-10-31,44.3,29.9,36.1,0,0,5.4,34891.36
1979-11-01,45.2,27.4,36.4,0,0,6.9,34749.76
1979-11-02,46.5,28.4,38.6,0,0,3.8,34609.83
1979-11-03,57.7,27.1,41.9,0,0,5.5,34471.73
1979-11-04,57.1,40.1,47.2,0.012,2,16.2,31774.53
1979-11-05,53,38.4,44.7,0,0,5.9,34200.98
1979-11-06,58.4,30.1,44.3,0,0,4.2,32140.19
1979-11-07,57.7,39.2,48.4,0,0,5.4,26349.04
1979-11-08,49.7,38,44.2,0.165,14,8.2,32482.15
1979-11-09,51,34,41.9,0,0,10.1,32124.36
1979-11-10,47.5,34.8,40,0,0,7.3,33536.78
1979-11-11,48.8,29.7,38.6,0,0,7.3,33406.73
1979-11-12,47.2,31.2,38.8,0,0,4.8,33277.98
1979-11-13,49.4,26,38.4,0,0,2.7,33150.69
1979-11-14,52.8,30.1,41.8,0,0,4,33025.02
1979-11-15,53.3,30.4,42.2,0,0,2.6,32901.16
1979-11-16,54.6,29.6,42.8,0,0,3.9,32779.27
1979-11-17,57.9,25.7,42,0.004,1,7.1,31463.5
1979-11-18,50.8,34.1,42.7,0.169,14,10.9,32230.48
1979-11-19,39.9,32.5,36.1,0.232,12,10.3,20455.05
1979-11-20,34,25.9,30.6,0.24,16,9,4343.38
1979-11-21,28.6,16.4,21.8,0,0,12,31824.31
1979-11-22,29.3,16.3,22.3,0,0,4.2,32099.67
1979-11-23,25.8,18.1,22.4,0.094,8,3,2231.36
1979-11-24,32.1,7.7,20,0,0,4.2,27263.52
1979-11-25,36.4,13.2,24.7,0,0,7.8,31782.7
1979-11-26,40.5,23.9,32.4,0.118,13,8.8,28560.37
1979-11-27,29.4,9.2,22,0,0,9.2,31561.19
1979-11-28,25.5,7.4,15,0,0,5.8,31413.5
1979-11-29,26.6,6.9,15.7,0,0,3,31192.85
1979-11-30,29.2,8.7,17.8,0,0,2.9,31143.81
1979-12-01,32.4,10.6,20.4,0,0,3.1,31022.55
1979-12-02,37.3,9.4,24,0,0,3.1,28440.08
1979-12-03,41.7,21.2,29.8,0,0,2.5,30449.35
1979-12-04,45.6,22.7,31.9,0,0,2.7,30658.98
1979-12-05,43.2,24.3,32.8,0,0,7.2,30636.32
1979-12-06,41.1,24.8,32.3,0,0,3.6,30565.98
1979-12-07,43.8,25.3,33.6,0.004,1,2.5,30506.65
1979-12-08,47.5,25.7,35.3,0,0,2.9,26815.55
1979-12-09,49.2,25.2,36.1,0,0,2.5,30455.27
1979-12-10,49.7,25.2,35.8,0.012,1,4.1,30453.44
1979-12-11,36.2,19.3,29,0.055,4,8.1,30421.37
1979-12-12,32.9,17.3,24.4,0,0,4.9,30454.12
1979-12-13,38,22.7,28.8,0,0,2.3,30436.09
1979-12-14,39.6,18.6,29.3,0,0,2.7,30451.63
1979-12-15,43.3,21.6,32,0,0,2.6,30459.8
1979-12-16,47.3,22.2,34,0,0,3.1,30475.76
1979-12-17,48.2,24.4,35.2,0,0,3.1,30457.53
1979-12-18,46.2,26.3,35.9,0,0,3.1,30441.47
1979-12-19,47.7,23.1,35.1,0,0,3.3,30429.45
1979-12-20,47.6,24.5,35,0,0,3.4,30421.45
1979-12-21,44.2,25.8,34,0.224,17,5,10283.23
1979-12-22,40.3,29.6,34.6,0.169,12,11.3,26709.77
1979-12-23,36.2,22.7,29.5,0,0,3.8,30421.63
1979-12-24,39.8,20,28.1,0,0,4.1,24121.21
1979-12-25,43.5,22.1,31.5,0,0,3.6,30441.73
1979-12-26,35.3,26.4,30.7,0.13,11,5.2,0
1979-12-27,34.4,25.1,29.9,0.067,8,7.7,22937.29
1979-12-28,31.1,13.5,22.9,0,0,4,30501.53
1979-12-29,29.9,1.9,16.8,0,0,3.6,29416.67
1979-12-30,29.7,3.6,18.2,0,0,4,30560.91
1979-12-31,31.2,8.7,20.7,0,0,3.5,29695.63
1980-01-01,37.2,16.5,26.5,0.039,4,3.4,30635.62
1980-01-02,39.2,22.6,30.1,0,0,4.5,30678.64
1980-01-03,37.2,18.7,26.2,0,0,6.4,30725.41
1980-01-04,37.8,19.1,28,0,0,4,30776.46
1980-01-05,41.9,19.9,29.5,0,0,5.8,30831.98
1980-01-06,41.7,25.5,32.8,0,0,6,30891.79
1980-01-07,40.9,22.7,29.9,0.008,2,6.5,30955.74
1980-01-08,43.9,29.3,35.6,0.004,1,16.2,31023.67
1980-01-09,41,32.6,36.5,0.138,10,11.1,8622.73
1980-01-10,46.6,25.7,39.5,0.02,3,27.8,31170.83
1980-01-11,34.1,23.7,30.4,0.063,7,4,10177.59
1980-01-12,45.8,34.4,39.6,0.118,8,9.4,4286.25
1980-01-13,52,35.3,42.5,0,0,10.4,25392.01
1980-01-14,47.2,35.4,42.8,0.299,10,14.1,545.7
1980-01-15,46.7,29.9,37.3,0,0,4,31597.44
1980-01-16,45.4,26.2,34.7,0.11,7,4.9,31691.6
1980-01-17,47.7,29,37.3,0.142,15,8.4,30053.19
1980-01-18,47.1,29.7,38.4,0.335,24,13,23560.8
1980-01-19,41.1,28.5,34.1,0.193,13,8.2,20359.31
1980-01-20,38.5,24.7,31.4,0.043,5,2.9,29375.74
1980-01-21,36.8,20.6,27.7,0,0,5.4,29010.14
1980-01-22,38.4,21.3,28.7,0,0,7.6,32308.75
1980-01-23,36.3,14.3,25,0,0,4.1,32382.21
1980-01-24,38.9,17.2,27.8,0,0,4.4,32417.5
1980-01-25,44.3,20.3,31.7,0,0,12.1,32407.22
1980-01-26,44.8,22.9,32.7,0,0,16.2,32492.17
1980-01-27,43.7,32.6,37.5,0,0,21.4,29239.22
1980-01-28,43.2,35.8,38.8,0.051,6,21.7,26097.21
1980-01-29,45.5,34.7,40,0.177,15,24,24923.46
1980-01-30,38.7,25.8,33.5,0.063,5,6.8,32638.51
1980-01-31,40.3,20.2,30,0,0,3.1,32380.04
1980-02-01,43.6,23.4,33.1,0,0,3.4,32565.13
1980-02-02,47.2,24.5,35.4,0,0,4,27903.46
1980-02-03,50.4,27.7,37.2,0,0,3.5,31156.64
1980-02-04,50.6,30.1,39.3,0,0,9.3,33507.57
1980-02-05,47,25.9,35.7,0,0,4.3,33617.02
1980-02-06,49.7,27.9,37.6,0.024,3,7.3,22829.68
1980-02-07,40.1,28.7,35,0.118,13,16.5,5415.41
1980-02-08,38,22.6,29.6,0.012,3,13.3,24176.42
1980-02-09,39,21.3,29.6,0,0,4.3,34587.86
1980-02-10,42.5,20.5,31.6,0,0,5.2,34764.96
1980-02-11,44.4,23.2,33.1,0,0,5.7,33831.99
1980-02-12,49,21.5,34.5,0,0,6.7,33545.13
1980-02-13,49.8,26.6,37.2,0.039,2,13.8,35015.38
1980-02-14,45.7,32.8,39.8,0.736,24,9.7,1883.97
1980-02-15,51.6,35.5,43.3,0.142,12,12.6,34022.58
1980-02-16,49.6,35.9,42.3,0.02,3,5.7,32983.37
1980-02-17,49.9,37.6,42.6,0.118,7,11.6,25463.95
1980-02-18,55.1,38.7,46.1,0.213,11,19.6,34686.1
1980-02-19,53.6,33.3,44.1,0.083,5,16.1,34671.66
1980-02-20,46.1,36.9,42.1,0.122,12,16.4,28386.59
1980-02-21,47.9,30.8,38.3,0.201,13,14.6,22093.74
1980-02-22,48.7,30.9,39.8,0,0,11,36534.46
1980-02-23,46.4,33,38.6,0.016,2,12.7,34991.6
1980-02-24,45.6,29.7,37.2,0,0,6.5,36841.74
1980-02-25,48.4,28.6,37.8,0,0,5.1,36995.75
1980-02-26,52.2,26.4,39.9,0,0,4,37149.83
1980-02-27,58.4,28.3,42.9,0,0,3.6,37303.86
1980-02-28,61.6,27.8,44.5,0,0,12.7,35820.7
1980-02-29,49.7,35.3,41.9,0,0,11.6,37611.3
1980-03-01,50.4,32.6,40.5,0,0,6.2,37764.46
1980-03-02,56.8,29.7,42.4,0,0,7.7,29123.44
1980-03-03,50.2,38,43.2,0.106,9,19.6,17079.42
1980-03-04,48.2,35.2,40.9,0.012,3,11.9,33055.57
1980-03-05,52,28.1,40.8,0.008,2,18.2,31916.77
1980-03-06,49.1,35.3,41.7,0.366,18,17.4,26367.67
1980-03-07,44.3,33.6,38.3,0.354,23,15.2,31222.34
1980-03-08,44.4,28.6,36,0.02,3,6.9,38834.51
1980-03-09,47.7,23.6,35.6,0,0,8.8,38989.27
1980-03-10,51,24.5,38.3,0,0,4,39144.36
