Date,Year,Month,TempMax_Mean,TempMin_Mean,TempMean,TempRange,TotalPrecipitation,AvgPrecipitation,PrecipDays,PrecipHours,AvgWindSpeed,MaxWindSpeed,TotalSunshine,AvgSunshine,DaysInMonth
1980-04-01,1980,4,61.72,35.38666666666667,49.17666666666667,26.333333333333332,1.3549999999999998,0.04516666666666666,10,65,10.68,23.3,349.61996388888883,11.653998796296296,30
1980-05-01,1980,5,69.8225806451613,45.43225806451613,58.75483870967742,24.39032258064516,1.276,0.041161290322580646,14,71,12.787096774193548,27.8,387.4570444444444,12.498614336917562,31
1980-06-01,1980,6,89.48666666666666,58.74,76.64666666666666,30.746666666666666,0,0,0,0,14.64,21.6,410.8521388888889,13.695071296296296,30
1980-07-01,1980,7,94.68064516129033,66.54193548387097,82.59354838709677,28.138709677419353,0.052000000000000005,0.0016774193548387097,5,7,11.903225806451612,18.8,411.4944527777778,13.274014605734768,31
1980-08-01,1980,8,88.98064516129033,63.09032258064516,77.17096774193548,25.89032258064516,0.9259999999999999,0.029870967741935484,8,46,12.319354838709678,22,387.03440555555557,12.48498082437276,31
1980-09-01,1980,9,79.71333333333334,55.14666666666667,68.02,24.566666666666666,1.788,0.0596,5,49,9.366666666666667,22.1,336.33800277777783,11.21126675925926,30
1980-10-01,1980,10,65.10645161290323,43.29354838709677,54.2,21.81290322580645,1.055,0.03403225806451613,7,58,7.474193548387097,17.1,297.32551944444447,9.591145788530467,31
1980-11-01,1980,11,54.43,32.31333333333333,42.92,22.116666666666667,0.279,0.0093,4,27,6.55,16.7,262.0733027777777,8.73577675925926,30
1980-12-01,1980,12,48.541935483870965,28.21290322580645,37.406451612903226,20.329032258064515,0.768,0.024774193548387096,4,40,5.641935483870967,17.2,252.3558611111112,8.14051164874552,31
1981-01-01,1981,1,47.34193548387097,28.980645161290322,37.54838709677419,18.361290322580647,0.327,0.010548387096774196,7,27,5.625806451612903,18.5,269.32642500000003,8.687949193548388,31
1981-02-01,1981,2,50.31785714285714,27.24642857142857,38.65,23.071428571428573,0.382,0.013642857142857142,2,20,8.289285714285715,23,260.37146666666666,9.298980952380953,28
1981-03-01,1981,3,52.15483870967742,31.74516129032258,41.86774193548387,20.40967741935484,1.5449999999999997,0.04983870967741935,18,111,8.9,22.1,306.26613055555555,9.87955259856631,31
1981-04-01,1981,4,70.62,42.85,57.81333333333333,27.77,0.634,0.02113333333333333,8,36,13.243333333333332,21.4,359.7250833333334,11.990836111111111,30
1981-05-01,1981,5,73.03870967741935,48.7,61.909677419354836,24.338709677419356,0.94,0.030322580645161284,12,53,13.896774193548387,25.1,386.1189222222223,12.455449103942653,31
1981-06-01,1981,6,89.11666666666666,62.236666666666665,77.48,26.88,0.17,0.005666666666666667,6,14,12.126666666666667,19.7,403.6338111111112,13.45446037037037,30
1981-07-01,1981,7,91.79032258064517,66.04193548387097,80.31290322580645,25.748387096774195,0.8400000000000002,0.02709677419354839,10,29,10.796774193548387,20,398.7851694444444,12.864037724014336,31
1981-08-01,1981,8,89.26774193548387,63.39677419354839,77.93548387096774,25.870967741935484,0.43800000000000006,0.014129032258064516,12,32,9.299999999999999,17.5,383.02392222222227,12.355610394265232,31
1981-09-01,1981,9,79.57666666666667,55.39666666666667,68.15666666666667,24.18,2.2929999999999997,0.07643333333333331,8,69,8.8966666666666665,20.2,338.66321111111114,11.288773703703704,30
1981-10-01,1981,10,61.33548387096774,42.44516129032258,51.832258064516125,18.89032258064516,2.2210000000000005,0.07164516129032257,14,89,10.13225806451613,20.8,295.475138888889,9.531456093189965,31
1981-11-01,1981,11,54.56666666666667,32.4,43.276666666666664,22.166666666666668,0.697,0.023233333333333335,6,54,7.5,19.6,244.49655277777777,8.149885092592593,30
1981-12-01,1981,12,44.616129032258065,24.983870967741936,34.1258064516129,19.63225806451613,0.733,0.023645161290322587,6,49,6.183870967741936,14.4,225.3510555555555,7.269388888888889,31
1982-01-01,1982,1,37.63548387096774,15.803225806451612,26.54516129032258,21.83225806451613,1.3780000000000001,0.04445161290322581,11,87,8.76774193548387,20.2,236.46111944444448,7.627778046594982,31
1982-02-01,1982,2,45.07142857142857,22.646428571428572,33.43214285714286,22.425,0.23300000000000004,0.00832142857142857,6,27,6.160714285714286,14.6,256.48325,9.160116071428572,28
1982-03-01,1982,3,53.406451612903226,32.57419354838709,42.729032258064514,20.83225806451613,2.169,0.06996774193548387,18,145,12.27741935483871,26,315.19661388888886,10.16763270609319,31
1982-04-01,1982,4,63.35666666666667,38.11,51.45333333333333,25.246666666666666,0.067,0.0022333333333333337,4,8,14.633333333333333,26.2,358.757911111111,11.958597037037036,30
1982-05-01,1982,5,73.29032258064517,49.093548387096774,62.31290322580645,24.19677419354839,0.45200000000000007,0.014580645161290323,12,34,12.993548387096775,24.4,392.1376027777778,12.649600089605736,31
1982-06-01,1982,6,84.92666666666666,57.54333333333334,73.15666666666667,27.383333333333333,0.09899999999999999,0.003300000000000001,3,8,12.610000000000001,27.3,399.2466999999999,13.308223333333332,30
1982-07-01,1982,7,91.05483870967743,64.8741935483871,79.60322580645162,26.18064516129032,0.22899999999999998,0.007387096774193548,9,20,11.109677419354838,20.8,411.1097,13.261603225806452,31
1982-08-01,1982,8,87.66451612903226,64.38064516129032,77.00322580645161,23.283870967741937,0.927,0.029903225806451612,13,43,8.393548387096775,17.4,369.68726666666663,11.925395698924731,31
1982-09-01,1982,9,78.05,54.38,66.76666666666667,23.669999999999998,1.56,0.052000000000000005,14,64,11.183333333333334,21.9,318.40144166666664,10.61338138888889,30
1982-10-01,1982,10,63.08387096774194,39.30967741935484,51.770967741935486,23.774193548387096,0.248,0.007999999999999997,7,29,9.896774193548387,20.2,289.0846777777777,9.325312186379929,31
1982-11-01,1982,11,48.32,29.333333333333332,38.29666666666667,18.986666666666665,2.0540000000000003,0.06846666666666666,9,91,8.356666666666667,22.4,231.99954722222222,7.733318240740741,30
1982-12-01,1982,12,41.774193548387096,25.206451612903226,32.80967741935484,16.567741935483873,0.91,0.02935483870967742,10,75,6.919354838709678,16.7,234.93606111111103,7.578582616487455,31
1983-01-01,1983,1,41.061290322580646,21.616129032258065,31.135483870967743,19.44516129032258,1.3579999999999999,0.04380645161290323,12,98,4.629032258064516,11.5,226.6738861111111,7.312060842293907,31
1983-02-01,1983,2,46.4,26.87857142857143,36.225,19.521428571428572,1.0920000000000003,0.039,12,81,7.175,16.6,244.45903333333328,8.730679761904762,28
1983-03-01,1983,3,50.60645161290323,32.538709677419355,41.090322580645164,18.06774193548387,3.095,0.09983870967741935,22,202,9.825806451612904,23.1,264.2367194444444,8.523765143369175,31
1983-04-01,1983,4,56.29333333333333,33.32666666666667,45.28666666666667,22.966666666666665,0.631,0.021033333333333334,16,65,11.82,24.7,351.66389444444445,11.722129814814814,30
1983-05-01,1983,5,70.19677419354839,45.403225806451616,58.980645161290326,24.793548387096774,0.627,0.020225806451612902,9,42,12.816129032258065,26.7,396.2176194444445,12.781213530465951,31
1983-06-01,1983,6,81.88666666666667,56.60333333333333,70.71333333333334,25.28333333333333,0.7090000000000001,0.023633333333333333,8,30,12.280000000000001,21.5,380.14051388888885,12.671350462962963,30
1983-07-01,1983,7,88.83225806451613,64.04516129032258,77.47419354838709,24.787096774193547,1.5079999999999998,0.04864516129032258,13,58,10.69032258064516,23.4,402.5820472222222,12.986517652329749,31
1983-08-01,1983,8,89.60967741935484,64.83548387096775,78.39677419354838,24.774193548387096,0.454,0.01464516129032258,11,31,8.383870967741936,14.9,385.65431666666666,12.44046182795699,31
1983-09-01,1983,9,83.06,58.53666666666667,71.52666666666667,24.523333333333333,1.174,0.03913333333333332,11,43,11.383333333333333,21.2,338.09007222222226,11.269669074074073,30
1983-10-01,1983,10,67.54516129032258,44.4741935483871,56.10322580645161,23.070967741935483,0.45299999999999996,0.014612903225806455,4,24,7.922580645161291,19,309.89587777777774,9.996641218637993,31
1983-11-01,1983,11,51.04333333333333,31.083333333333332,41.07666666666667,19.96,1.2850000000000001,0.042833333333333334,15,94,9.513333333333334,21.8,249.41125555555547,8.313708518518519,30
1983-12-01,1983,12,41.9,25.26774193548387,32.92580645161291,16.63225806451613,1.1869999999999998,0.038290322580645166,18,103,8.980645161290322,19.4,226.60954444444448,7.309985304659499,31
1984-01-01,1984,1,38.145161290322584,15.451612903225806,26.29032258064516,22.693548387096776,0.398,0.012838709677419355,3,33,4.887096774193548,14.3,250.0732444444444,8.066878853046594,31
1984-02-01,1984,2,44.16206896551724,24.044827586206896,33.40689655172414,20.117241379310347,0.4570000000000001,0.015758620689655178,8,51,7.375862068965517,17.8,269.28555,9.285708620689654,29
1984-03-01,1984,3,52.15806451612903,30.270967741935483,41.29677419354839,21.887096774193548,1.218,0.039290322580645166,17,98,10.477419354838709,20.8,327.694,10.570774193548386,31
1984-04-01,1984,4,60.3,35.513333333333335,48.556666666666665,24.786666666666665,0.8889999999999999,0.029633333333333328,12,65,12.473333333333333,21.8,348.5119138888889,11.617063796296295,30
1984-05-01,1984,5,79.72258064516129,51.57741935483871,67.26129032258065,28.14516129032258,0.32,0.01032258064516129,10,22,13.05483870967742,21.7,401.4135305555555,12.948823566308244,31
1984-06-01,1984,6,81.41,55.31666666666666,69.54666666666667,26.093333333333334,2.2730000000000006,0.07576666666666666,12,68,11.083333333333334,21.5,378.8566027777777,12.628553425925926,30
1984-07-01,1984,7,90.58064516129032,65.6741935483871,79.22903225806452,24.906451612903226,0.71,0.022903225806451613,15,46,9.04516129032258,20.1,403.9788361111112,13.031575358422938,31
1984-08-01,1984,8,86.60322580645162,63.69032258064516,76.1774193548387,22.912903225806453,1.63,0.052580645161290324,11,72,8.174193548387096,19.2,383.58385555555566,12.373672759856632,31
1984-09-01,1984,9,80.55,54.43666666666667,68.35666666666667,26.113333333333333,0.37100000000000005,0.012366666666666668,5,20,10.813333333333333,24.2,339.4923444444444,11.316411481481483,30
1984-10-01,1984,10,56.36129032258064,37.62258064516129,46.880645161290325,18.738709677419354,3.043,0.09816129032258064,16,123,8.906451612903226,24.9,290.92503611111107,9.384678584229391,31
1984-11-01,1984,11,51.38,31.150000000000002,40.37,20.23,0.364,0.012133333333333335,7,30,9.263333333333334,26.9,252.60261666666665,8.420087222222222,30
1984-12-01,1984,12,40.983870967741936,25.87741935483871,32.86774193548387,15.106451612903225,2.02,0.06516129032258064,12,118,7.858064516129033,19.4,224.92978888888888,7.2557996415770605,31
1985-01-01,1985,1,37,20.59032258064516,28.383870967741935,16.40967741935484,1.1860000000000002,0.03825806451612903,7,65,5.012903225806451,11.4,252.6104833333333,8.148725268817204,31
1985-02-01,1985,2,42.275,22.353571428571428,31.825,19.92142857142857,0.36300000000000004,0.012964285714285715,5,31,8.25,16.1,256.18050277777775,9.14930367063492,28
1985-03-01,1985,3,53.25483870967742,31.551612903225806,42.57096774193548,21.703225806451613,1.536,0.0495483870967742,11,87,12.735483870967741,30.5,305.3103944444444,9.84872240143369,31
1985-04-01,1985,4,65.15333333333334,40.266666666666666,53.4,24.886666666666667,2.2409999999999997,0.0747,10,91,10.516666666666666,20.2,338.15683055555553,11.27189435185185,30
1985-05-01,1985,5,76.1483870967742,49.354838709677416,64.29677419354839,26.793548387096774,0.515,0.016612903225806455,9,36,13.112903225806452,25.1,389.91041111111105,12.577755197132616,31
1985-06-01,1985,6,88.65,60.15,76.50666666666666,28.5,0.154,0.005133333333333332,3,8,11.55,20.8,406.3309916666667,13.544366388888887,30
1985-07-01,1985,7,90.49032258064516,65.10967741935484,79.2,25.380645161290325,0.896,0.02890322580645162,15,51,9.403225806451612,15.7,408.13269166666663,13.165570698924732,31
1985-08-01,1985,8,92.01612903225806,63.751612903225805,79.76451612903226,28.26451612903226,0.047,0.0015161290322580647,3,4,11.138709677419355,20.6,388.9079833333334,12.545418817204302,31
1985-09-01,1985,9,74.23333333333333,51.26,63.32,22.973333333333333,1.5120000000000002,0.05040000000000001,13,59,12.706666666666667,21.2,322.51356944444444,10.750452314814815,30
1985-10-01,1985,10,65.0741935483871,42.541935483870965,54.01935483870968,22.532258064516128,1.3829999999999998,0.04461290322580645,11,83,8.858064516129032,24.5,299.7489472222223,9.669320878136201,31
1985-11-01,1985,11,49.29666666666667,31.39666666666667,40.08,17.9,2.0130000000000003,0.0671,11,98,11.42,25,232.64276666666663,7.7547588888888885,30
1985-12-01,1985,12,39.061290322580646,20.693548387096772,29.593548387096774,18.36774193548387,0.929,0.02996774193548388,5,36,4.064516129032258,9.4,249.7563583333333,8.056656720430109,31
1986-01-01,1986,1,47.78387096774193,27.251612903225805,36.45483870967742,20.532258064516128,0.28,0.009032258064516128,6,24,5.425806451612903,18.3,259.27604166666674,8.363743279569892,31
1986-02-01,1986,2,49.76428571428571,30.92857142857143,40.04642857142857,18.835714285714285,0.8570000000000001,0.030607142857142857,10,67,10.875,26.1,249.89803611111108,8.924929861111112,28
1986-03-01,1986,3,59.97741935483871,35.66451612903226,48.10322580645161,24.31290322580645,1.0619999999999998,0.03425806451612903,10,78,9.45483870967742,21.8,318.8162111111111,10.284393906810035,31
1986-04-01,1986,4,63.35,39.873333333333335,51.92333333333333,23.476666666666667,1.6859999999999995,0.0562,14,92,13.526666666666667,22.6,341.5327444444445,11.384424814814816,30
1986-05-01,1986,5,74.39032258064516,48.49032258064516,63.0258064516129,25.900000000000002,0.6100000000000001,0.019677419354838712,6,46,13.519354838709678,34.4,390.57564166666657,12.599214247311828,31
1986-06-01,1986,6,88.35,60.986666666666665,76.51,27.363333333333333,0.299,0.009966666666666667,3,17,10.936666666666667,19.2,396.7462277777779,13.22487425925926,30
1986-07-01,1986,7,89.15161290322581,63.31290322580645,77.64516129032258,25.838709677419356,0.661,0.02132258064516129,10,43,11.76774193548387,17.9,399.9432666666666,12.90139569892473,31
1986-08-01,1986,8,89.23225806451613,64.47096774193548,78.27741935483871,24.761290322580646,0.714,0.02303225806451612,12,31,9.635483870967743,16.7,381.1242694444444,12.294331272401434,31
1986-09-01,1986,9,74.63,53.46,64.27666666666667,21.169999999999998,2.2180000000000004,0.07393333333333332,16,120,13.95,22.2,313.92545277777776,10.46418175925926,30
1986-10-01,1986,10,60.409677419354836,38.71935483870968,49.061290322580646,21.690322580645162,1.866,0.06019354838709678,13,98,6.887096774193549,17.2,289.91180833333334,9.351993817204301,31
1986-11-01,1986,11,50.416666666666664,30.413333333333334,39.51,20.003333333333334,0.7050000000000002,0.023499999999999997,9,50,7.85,18.3,256.3149916666667,8.543833055555556,30
1986-12-01,1986,12,41.41935483870968,24.26451612903226,32.3,17.15483870967742,0.932,0.030064516129032257,4,52,4.054838709677419,8.2,233.50943055555558,7.532562275985663,31
1987-01-01,1987,1,39.33548387096774,20.14516129032258,29.09032258064516,19.190322580645162,0.8380000000000001,0.027032258064516132,11,71,7.219354838709678,23.1,245.29466944444448,7.912731272401434,31
1987-02-01,1987,2,45.19642857142857,27.439285714285713,35.832142857142856,17.757142857142856,1.302,0.04650000000000001,15,97,6.9071428571428575,15.5,224.4734222222222,8.016907936507936,28
1987-03-01,1987,3,50.60322580645161,28.63225806451613,39.42258064516129,21.970967741935485,1.0950000000000002,0.03532258064516129,13,92,9.661290322580644,22.9,309.86795555555557,9.995740501792115,31
1987-04-01,1987,4,67.55333333333334,38.86666666666667,54.846666666666664,28.686666666666667,0.4810000000000001,0.01603333333333333,8,34,10.01,24.4,353.65794722222216,11.788598240740741,30
1987-05-01,1987,5,74.9258064516129,49.535483870967745,63.63870967741936,25.39032258064516,0.846,0.027290322580645163,13,52,12.158064516129032,21.8,403.5865472222221,13.0189208781362,31
1987-06-01,1987,6,88.35666666666667,60.50333333333333,76.48333333333333,27.85333333333333,0.138,0.0046,3,6,10.626666666666667,20.9,401.1943277777779,13.37314425925926,30
1987-07-01,1987,7,88.8225806451613,62.619354838709675,77.31612903225806,26.203225806451613,1.7209999999999999,0.055516129032258034,11,51,12.04516129032258,20.7,392.1659833333332,12.650515591397848,31
1987-08-01,1987,8,84.06129032258065,59.13225806451613,72.29677419354839,24.929032258064517,2.339,0.07545161290322581,9,63,8.92258064516129,20.4,380.3095444444444,12.26804982078853,31
1987-09-01,1987,9,80.04,54.55,68.13,25.49,0.22500000000000003,0.0075,4,11,7.653333333333333,13.9,337.9943777777778,11.26647925925926,30
1987-10-01,1987,10,68.48709677419355,46.487096774193546,57.94516129032258,22,2.282,0.07361290322580645,9,96,6.138709677419355,14.8,293.92940555555555,9.481593727598566,31
1987-11-01,1987,11,48.35,30.31,38.906666666666666,18.04,2.0399999999999996,0.068,13,89,6.676666666666667,15.6,253.6721805555555,8.455739351851852,30
1987-12-01,1987,12,38.16451612903226,22.309677419354838,29.716129032258063,15.85483870967742,0.9720000000000002,0.03135483870967742,12,73,7.158064516129032,18.7,223.61929722222217,7.213525716845878,31
1988-01-01,1988,1,31.129032258064516,10.493548387096775,21.358064516129033,20.635483870967743,1.524,0.049161290322580646,11,96,4.829032258064516,14.5,237.44449722222225,7.659499910394265,31
1988-02-01,1988,2,42.65862068965517,20.06206896551724,31.16896551724138,22.59655172413793,0.6540000000000001,0.022551724137931033,7,57,5.510344827586207,16.9,268.18546388888893,9.247774616858237,29
1988-03-01,1988,3,49.71612903225807,27.732258064516127,38.71290322580645,21.983870967741936,0.997,0.032161290322580645,14,98,10.42258064516129,22.8,317.10223888888885,10.229104480286738,31
1988-04-01,1988,4,63.47333333333333,38.126666666666665,51.65,25.346666666666668,1.452,0.0484,12,78,10.373333333333333,22,345.50384722222225,11.516794907407409,30
1988-05-01,1988,5,75.08709677419354,47.696774193548386,62.73548387096774,27.39032258064516,0.516,0.01664516129032258,8,31,13.335483870967742,27.8,405.51374166666665,13.081088440860215,31
1988-06-01,1988,6,89.48666666666666,61.59,77.44333333333333,27.896666666666665,0.30000000000000004,0.009999999999999995,7,18,10.756666666666666,21,398.8380444444444,13.29460148148148,30
1988-07-01,1988,7,93.9,67.0741935483871,82.33225806451613,26.825806451612902,0.134,0.00432258064516129,7,12,10.819354838709678,17.9,410.7788305555555,13.250930017921146,31
1988-08-01,1988,8,89.02903225806452,64.38709677419355,77.64516129032258,24.641935483870967,0.669,0.021580645161290324,8,28,9.341935483870968,15.8,381.85633611111115,12.317946326164874,31
1988-09-01,1988,9,78.51,52.593333333333334,66.25333333333333,25.916666666666668,1.233,0.0411,8,41,10.043333333333333,19.6,339.9196805555556,11.330656018518518,30
1988-10-01,1988,10,73.31290322580645,48.85806451612903,61.49354838709677,24.45483870967742,0.271,0.008741935483870967,4,17,7.216129032258064,14,308.67651944444435,9.957307078853045,31
1988-11-01,1988,11,52.53333333333333,33.916666666666664,42.79666666666667,18.616666666666667,0.5670000000000001,0.0189,9,40,10.846666666666668,23.1,256.90286388888893,8.563428796296296,30
1988-12-01,1988,12,42.4258064516129,24.325806451612902,32.70645161290322,18.099999999999998,0.484,0.015612903225806453,7,49,7.02258064516129,17.7,245.76048055555555,7.927757437275986,31
1989-01-01,1989,1,37.36774193548387,15.087096774193549,26.048387096774192,22.280645161290323,0.6820000000000002,0.022000000000000002,6,50,5.861290322580645,16.6,252.99941944444444,8.161271594982079,31
1989-02-01,1989,2,39.27857142857143,17.660714285714285,28.58214285714286,21.617857142857144,1.058,0.03778571428571428,7,61,8.071428571428571,24.3,257.08747777777785,9.181695634920636,28
1989-03-01,1989,3,60.958064516129035,34.97741935483871,48.08387096774194,25.980645161290322,0.5750000000000001,0.018548387096774192,8,41,12.964516129032258,26.4,324.06697777777777,10.45377347670251,31
1989-04-01,1989,4,71.34333333333333,46.13333333333333,59.736666666666665,25.21,0.044,0.0014666666666666665,2,6,14.186666666666667,22.3,361.05608333333333,12.035202777777778,30
1989-05-01,1989,5,77.4258064516129,52.22258064516129,66.06129032258065,25.203225806451613,0.339,0.010935483870967743,6,28,13.95483870967742,24.8,403.1686611111111,13.005440681003584,31
1989-06-01,1989,6,86.21,58.94,74.35333333333334,27.27,0.047,0.0015666666666666663,3,4,12.443333333333333,22.9,401.2449777777777,13.374832592592593,30
1989-07-01,1989,7,93.56451612903226,66.47096774193548,81.95483870967742,27.093548387096774,0.26,0.008387096774193546,8,14,9.958064516129033,20,409.46172777777775,13.20844283154122,31
1989-08-01,1989,8,88.19354838709677,61.387096774193544,76.3225806451613,26.806451612903228,0.327,0.010548387096774196,6,21,11.570967741935483,19.1,389.8136444444445,12.574633691756272,31
1989-09-01,1989,9,81.79,54.95333333333333,69.43666666666667,26.836666666666666,0.7669999999999999,0.025566666666666665,5,30,11.056666666666667,20.4,341.3875361111111,11.379584537037037,30
1989-10-01,1989,10,68.72903225806452,43.76129032258064,56.829032258064515,24.967741935483872,0.29600000000000004,0.009548387096774195,6,21,9.790322580645162,23.2,312.87999444444443,10.092903046594982,31
1989-11-01,1989,11,55.22,34.43333333333333,44.69,20.786666666666665,0.047,0.001566666666666666,1,6,7.696666666666666,29.2,264.12432222222225,8.804144074074074,30
1989-12-01,1989,12,44.16451612903226,25.748387096774195,34.47741935483871,18.416129032258066,0.16900000000000004,0.005451612903225806,5,19,5.535483870967742,11.3,256.18286111111115,8.263963261648746,31
1990-01-01,1990,1,39.57096774193548,16.509677419354837,27.28709677419355,23.061290322580646,1.074,0.034645161290322586,10,94,6.951612903225806,18.4,245.37764444444448,7.91540788530466,31
1990-02-01,1990,2,45.14642857142857,23.760714285714286,34.30357142857143,21.385714285714286,0.8540000000000001,0.030500000000000003,11,78,8.846428571428572,24.1,254.34105277777778,9.083609027777777,28
1990-03-01,1990,3,57.329032258064515,34.12258064516129,45.83870967741935,23.206451612903226,0.689,0.022225806451612904,11,78,10.480645161290322,21.7,307.2358833333334,9.910834946236559,31
1990-04-01,1990,4,68.03333333333333,42.94,56.63333333333333,25.093333333333334,0.635,0.02116666666666667,12,58,11.776666666666667,26.6,347.9427305555555,11.598091018518518,30
1990-05-01,1990,5,75.28709677419354,48.403225806451616,63.47096774193548,26.883870967741935,0.386,0.012451612903225807,7,27,14.86774193548387,28,403.45026388888886,13.014524641577061,31
1990-06-01,1990,6,90.87666666666667,62.013333333333335,78.58333333333333,28.863333333333333,0.158,0.005266666666666665,2,6,14.176666666666666,23,408.1582333333333,13.605274444444444,30
1990-07-01,1990,7,90.83548387096774,65.75483870967741,79.68064516129033,25.080645161290324,0.736,0.02374193548387096,11,35,11.412903225806451,18.8,406.3400555555555,13.107743727598566,31
1990-08-01,1990,8,88.88064516129032,62.28709677419355,77.27096774193548,26.593548387096774,0.6960000000000001,0.022451612903225806,6,34,11.30967741935484,18.5,386.58488888888894,12.470480286738352,31
1990-09-01,1990,9,82.41,57.9,71.20666666666666,24.509999999999998,0.7250000000000001,0.024166666666666666,10,35,8.006666666666666,13.8,315.67796111111124,10.522598703703704,30
1990-10-01,1990,10,67.30322580645161,41.91612903225806,54.72258064516129,25.387096774193548,1.137,0.03667741935483871,7,52,9.293548387096774,19.8,306.5050944444444,9.88726111111111,31
1990-11-01,1990,11,52.56,30.183333333333334,41.21333333333333,22.376666666666665,1.067,0.03556666666666667,8,62,8.006666666666666,24,252.72366388888895,8.42412212962963,30
1990-12-01,1990,12,33.95161290322581,13.087096774193547,23.44516129032258,20.864516129032257,0.6579999999999999,0.021225806451612903,8,50,7.661290322580645,22,253.29088055555553,8.170673566308244,31
1991-01-01,1991,1,29.674193548387095,8.612903225806452,19.480645161290322,21.061290322580646,0.8570000000000001,0.02764516129032259,5,39,4.196774193548387,12.7,253.08559722222216,8.164051523297491,31
1991-02-01,1991,2,47.121428571428574,24.71785714285714,35.39642857142857,22.40357142857143,0.31899999999999995,0.011392857142857139,3,22,5.460714285714285,13,256.13591666666673,9.14771130952381,28
1991-03-01,1991,3,52.04838709677419,30.251612903225805,41.151612903225804,21.796774193548387,1.351,0.04358064516129032,16,95,13.051612903225806,30.4,299.6091611111112,9.66481164874552,31
1991-04-01,1991,4,61.836666666666666,36.75333333333333,49.986666666666665,25.083333333333332,0.21300000000000002,0.0070999999999999995,9,24,13.563333333333333,26.8,358.43456666666674,11.94781888888889,30
1991-05-01,1991,5,75.33870967741936,48.83870967741935,63.48064516129032,26.5,0.166,0.00535483870967742,7,16,16.980645161290322,28.8,394.46320833333334,12.724619623655913,31
1991-06-01,1991,6,85.96000000000001,58.016666666666666,73.96333333333334,27.943333333333335,0.627,0.0209,6,30,13.863333333333333,23,397.2145861111111,13.240486203703703,30
1991-07-01,1991,7,91.53870967741935,65.66774193548387,80.45483870967742,25.870967741935484,0.15300000000000002,0.004935483870967742,6,14,9.941935483870967,16,406.43781666666655,13.110897311827957,31
1991-08-01,1991,8,89.4258064516129,64.5,78.27741935483871,24.925806451612903,0.34900000000000003,0.011258064516129032,12,22,9.248387096774193,15.9,377.217175,12.168295967741937,31
1991-09-01,1991,9,78.72,54.82333333333333,67.45,23.89666666666667,1.4579999999999997,0.0486,12,73,8.486666666666666,16.9,340.29,11.343,30
